TimeID,Precipitationmm,Events,Conditions,WindDirDegrees
211,0,Normal,Overcast,80
212,0,Normal,Overcast,0
213,0,Normal,Overcast,80
214,0,Normal,Overcast,80
215,0,Normal,Overcast,0
216,0,Rain,Light Rain,50
217,0,Normal,Overcast,60
218,0,Normal,Overcast,70
219,0,Normal,Overcast,60
220,0,Normal,Overcast,60
221,0,Normal,Overcast,90
222,0,Normal,Overcast,100
223,0,Normal,Overcast,80
224,0,Normal,Overcast,0
225,0,Normal,Overcast,110
226,0,Normal,Overcast,0
227,0,Normal,Overcast,100
228,0,Normal,Overcast,90
229,0,Normal,Overcast,60
230,0,Normal,Haze,0
231,0,Normal,Overcast,70
232,0,Normal,Overcast,70
233,0,Normal,Overcast,70
234,0,Rain,Light Rain,70
235,0.04,Rain,Rain,80
236,0.05,Rain,Rain,70
237,0.05,Rain,Rain,70
238,0.14,Rain,Rain,80
239,0.14,Rain,Heavy Rain,70
240,0.2,Rain,Heavy Rain,70
241,0.07,Rain,Heavy Rain,70
242,0.26,Rain,Light Rain,70
243,0.29,Rain,Heavy Rain,80
244,0.32,Rain,Rain,70
245,0.04,Rain,Rain,70
246,0.12,Rain,Rain,70
247,0.19,Rain,Heavy Rain,90
248,0.2,Rain,Heavy Rain,80
249,0.47,Rain,Heavy Rain,80
250,0.24,Rain,Heavy Rain,30
251,0.38,Rain,Heavy Rain,60
252,0.46,Rain,Light Rain,290
253,0.46,Rain,Light Rain,0
254,0.01,Normal,Overcast,0
255,0,Rain,Light Rain,180
256,0.01,Rain,Light Rain,180
257,0.02,Rain,Light Rain,0
258,0.02,Normal,Overcast,170
259,0.02,Rain,Light Rain,190
260,0.01,Rain,Light Rain,170
261,0.03,Rain,Light Rain,0
262,0.03,Rain,Light Rain,170
263,0.03,Normal,Overcast,170
264,0,Normal,Overcast,170
265,0,Normal,Overcast,170
266,0,Normal,Overcast,0
267,0,Normal,Overcast,180
268,0,Normal,Scattered Clouds,0
269,0.01,Rain,Light Rain,170
270,0.02,Normal,Mostly Cloudy,260
271,0,Normal,Partly Cloudy,260
272,0,Normal,Clear,250
273,0,Normal,Overcast,270
274,0,Normal,Partly Cloudy,0
275,0,Normal,Clear,290
276,0,Normal,Scattered Clouds,280
277,0,Normal,Overcast,290
278,0,Normal,Overcast,0
279,0,Normal,Overcast,290
280,0,Normal,Clear,280
281,0,Normal,Partly Cloudy,270
282,0,Normal,Clear,290
283,0,Normal,Clear,0
284,0,Normal,Clear,260
285,0,Normal,Clear,300
286,0,Normal,Clear,280
287,0,Normal,Clear,0
288,0,Normal,Clear,290
289,0,Normal,Clear,290
290,0,Normal,Clear,280
291,0,Normal,Clear,290
292,0,Normal,Clear,290
293,0,Normal,Clear,290
294,0,Normal,Clear,280
295,0,Normal,Clear,290
296,0,Normal,Clear,290
297,0,Normal,Clear,290
298,0,Normal,Clear,300
299,0,Normal,Clear,0
300,0,Normal,Clear,320
301,0,Normal,Clear,320
302,0,Normal,Clear,0
303,0,Normal,Clear,0
304,0,Normal,Clear,0
305,0,Normal,Clear,270
306,0,Normal,Clear,0
307,0,Normal,Clear,0
308,0,Normal,Clear,0
309,0,Normal,Mostly Cloudy,0
310,0,Normal,Clear,0
311,0,Normal,Clear,160
312,0,Normal,Overcast,0
313,0,Normal,Overcast,0
314,0,Normal,Overcast,180
315,0,Normal,Overcast,160
316,0,Normal,Overcast,220
317,0,Normal,Overcast,210
318,0,Normal,Overcast,260
319,0,Normal,Mostly Cloudy,250
320,0,Normal,Partly Cloudy,0
321,0,Normal,Partly Cloudy,0
322,0,Normal,Overcast,0
323,0,Normal,Mostly Cloudy,280
324,0,Normal,Scattered Clouds,280
325,0,Normal,Mostly Cloudy,290
326,0,Normal,Clear,280
327,0,Normal,Clear,290
328,0,Normal,Clear,290
329,0,Normal,Clear,300
330,0,Normal,Clear,280
331,0,Normal,Clear,270
332,0,Normal,Clear,290
333,0,Normal,Clear,0
334,0,Normal,Clear,270
335,0,Normal,Clear,290
336,0,Normal,Partly Cloudy,270
337,0,Normal,Partly Cloudy,0
338,0,Normal,Clear,310
339,0,Normal,Clear,290
340,0,Normal,Clear,0
341,0,Normal,Clear,280
342,0,Normal,Clear,290
343,0,Normal,Clear,290
344,0,Normal,Clear,0
345,0,Normal,Clear,300
346,0,Normal,Clear,280
347,0,Normal,Clear,280
348,0,Normal,Partly Cloudy,250
349,0,Normal,Overcast,0
350,0,Normal,Scattered Clouds,0
351,0,Normal,Overcast,0
352,0,Normal,Overcast,0
353,0,Normal,Overcast,0
354,0,Normal,Overcast,0
355,0,Normal,Overcast,260
356,0,Normal,Overcast,0
357,0,Normal,Overcast,0
358,0,Normal,Overcast,0
359,0,Normal,Overcast,0
360,0,Normal,Overcast,240
361,0,Normal,Overcast,270
362,0,Normal,Overcast,0
363,0,Normal,Overcast,270
