comment_count,heat,likes,tags,year,month,weekday,hour,createtime
37,14259,14222,['BNPPO18'],2018,3,6,16,2018-03-10 16:48:44
119,18156,18037,"['bnppo18', 'Tennis', 'doubles', 'Repost', 'ATP']",2018,3,6,11,2018-03-10 11:23:57
68,10061,9993,"['bnpparibasopen', 'doubles', 'Repost', 'Doubles', 'tennis', 'BNPPO18', 'ATP']",2018,3,6,0,2018-03-10 00:43:57
52,12201,12149,"['tennis', 'ATPMasters1000', 'BNPPO18', 'ATP']",2018,3,5,23,2018-03-09 23:23:12
75,18110,18035,[],2018,3,5,19,2018-03-09 19:25:50
20,5499,5479,[],2018,3,5,16,2018-03-09 16:02:40
52,12963,12911,[],2018,3,5,13,2018-03-09 13:32:56
133,13771,13638,"['instasport', 'fridayfeeling', 'bnppo18', 'indianwells', 'paire', 'tweener', 'tennistv', 'trickshot', 'hotshot', 'tennis', 'sports']",2018,3,5,11,2018-03-09 11:43:19
277,21709,21432,"['bnpparibasopen', 'instasport', 'NextGenATP', 'tennistv', 'atp', 'Repost', 'tennis', 'BNPPO18', 'atpworldtour', 'sport']",2018,3,5,11,2018-03-09 11:33:23
22,20173,20151,['ThrowbackThursday'],2018,3,4,18,2018-03-08 18:24:23
11,11558,11547,['TennisParadise'],2018,3,4,18,2018-03-08 18:15:57
104,14746,14642,[],2018,3,4,17,2018-03-08 17:49:43
356,32038,31682,[],2018,3,3,16,2018-03-07 16:55:42
24,9040,9016,['NextGenATP'],2018,3,2,22,2018-03-06 22:56:38
46,10197,10151,[],2018,3,1,9,2018-03-05 09:07:28
14,9344,9330,"['Delbonis', 'champions', 'BrasilOpen2018', 'doubles', 'tennis', 'ATP', 'Gonzalez']",2018,3,0,16,2018-03-04 16:15:23
62,12501,12439,"['instasport', 'mexico', 'atpworldtour', 'delpotro', 'tennistv', 'atp', 'Repost', 'tennis', 'acapulco', 'delpo', 'sport']",2018,3,0,15,2018-03-04 15:05:11
97,26382,26285,"['Fognini', 'champion', 'BrasilOpen2018', 'tennis', 'ATP', 'singles']",2018,3,0,13,2018-03-04 13:49:47
121,32607,32486,"['AMT2018', 'Delpo', 'Acapulco', 'champion', 'DelPotro', 'tennis', 'ATP', 'singles']",2018,3,0,12,2018-03-04 12:14:12
9,11372,11363,"['AMT2018', 'Acapulco', 'Soares', 'champions', 'doubles', 'Murray', 'tennis', 'ATP']",2018,3,0,12,2018-03-04 12:05:38
212,21452,21240,"['SaoPaulo', 'BrasilOpen', 'balldogs', 'tennis', 'ATP', 'dogs']",2018,3,6,18,2018-03-03 18:09:05
34,14648,14614,"['DDFTennis', 'Dubai', 'champion', 'BautistaAgut', 'tennis', 'ATP', 'singles']",2018,3,6,17,2018-03-03 17:05:22
30,10944,10914,"['DDFTennis', 'Dubai', 'champions', 'doubles', 'tennis', 'ATP']",2018,3,6,16,2018-03-03 16:51:44
84,14843,14759,"['tennis', 'SaoPaulo', 'ATP', 'Jarry']",2018,3,5,23,2018-03-02 23:53:08
58,18737,18679,"['Murray', 'britain', 'snow', 'tennis', 'ATP', 'sports', 'snowman', 'beastfromtheeast']",2018,3,4,16,2018-03-01 16:30:40
377,18461,18084,"['tennis', 'Paire', 'ATP', 'DDFTennis']",2018,2,3,21,2018-02-28 21:02:17
512,49984,49472,"['Laureus18', 'Repost']",2018,2,2,15,2018-02-27 15:41:45
53,11449,11396,[],2018,2,2,15,2018-02-27 15:02:23
69,19791,19722,"['AMT2018', 'Thiem', 'Acapulco', 'Zverev', 'tennis', 'ATP']",2018,2,1,19,2018-02-26 19:02:39
38,13365,13327,"['Dimitrov', 'DDFTennis', 'Dubai', 'zipline', 'tennis', 'ATP']",2018,2,1,17,2018-02-26 17:26:53
106,23983,23877,"['DBO2018', 'Tiafoe', 'champion', 'NextGenATP', 'DelrayBeach', 'tennis', 'ATP']",2018,2,0,20,2018-02-25 20:20:46
158,32562,32404,"['RioOpen', 'champion', 'Schwartzman', 'tennis', 'ATP']",2018,2,0,18,2018-02-25 18:44:17
9,9844,9835,"['DBO2018', 'champion', 'DelrayBeachOpen', 'doubles', 'tennis', 'ATP', 'Withrow', 'Sock']",2018,2,0,16,2018-02-25 16:22:53
33,15211,15178,"['champion', 'NextGenATP', 'Khachanov', 'tennis', 'ATP', 'Marseille']",2018,2,0,12,2018-02-25 12:10:05
29,15442,15413,"['Verdasco', 'RioOpen', 'champions', 'doubles', 'Marrero', 'tennis', 'ATP']",2018,2,0,11,2018-02-25 11:47:09
18,7736,7718,"['Venus', 'doubles', 'Klaasen', 'tennis', 'ATP', 'Marseille']",2018,2,0,11,2018-02-25 11:14:29
116,12532,12416,"['proposal', 'Rio', 'RioOpen', 'engagement', 'tennis', 'ATP']",2018,2,6,13,2018-02-24 13:30:27
28,14031,14003,"['DBO2018', 'Tiafoe', 'Opelka', 'Shapovalov', 'NextGenATP', 'Fritz', 'DelrayBeach', 'Chung', 'tennis', 'ATP']",2018,2,5,12,2018-02-23 12:31:44
104,9475,9371,"['Thiem', 'blooper', 'RioOpen', 'Schwartzman', 'ArgentinaOpen', 'tennis', 'ATP']",2018,2,3,11,2018-02-21 11:26:00
82,14772,14690,"['brasil', 'riodejaneiro', 'rio', 'rioopen2018', 'tweener', 'tennistv', 'trickshot', 'Repost', 'hotshot', 'tennis', 'TweenerTuesday', 'atp', 'brazil', 'sports', 'atpworldtour', 'sport']",2018,2,2,20,2018-02-20 20:58:15
1002,38859,37857,"['tennis', 'ATP', 'RioOpen', 'Fognini']",2018,2,1,22,2018-02-19 22:38:41
62,16443,16381,"['RioOpen', 'footvolley', 'Schwartzman', 'tennis', 'ATP', 'Brazil']",2018,2,1,12,2018-02-19 12:57:32
133,28090,27957,['Rolex'],2018,2,1,12,2018-02-19 12:07:14
3,3782,3779,"['NextGenATP', 'Open13', 'tennis', 'ATP', 'Marseille']",2018,2,1,11,2018-02-19 11:17:06
165,22693,22528,['Repost'],2018,2,1,10,2018-02-19 10:31:31
187,13515,13328,[],2018,2,1,9,2018-02-19 09:18:41
34,11307,11273,"['DBO2018', 'DelrayBeachOpen', 'Raonic', 'tennis', 'ATP']",2018,2,0,19,2018-02-18 19:34:47
34,13643,13609,"['NewYork', 'Anderson', 'champion', 'NYOpen', 'tennis', 'ATP']",2018,2,0,19,2018-02-18 19:16:28
38,11611,11573,"['RioOpen2018', 'Rio', 'Carnival', 'tennis', 'ATP']",2018,2,0,18,2018-02-18 18:47:38
10,7070,7060,"['Oswald', 'Mirnyi', 'champions', 'doubles', 'NYOpen', 'tennis', 'ATP']",2018,2,0,17,2018-02-18 17:36:51
82,22091,22009,"['Thiem', 'BuenosAires', 'champion', 'ArgentinaOpen', 'tennis', 'ATP']",2018,2,0,16,2018-02-18 16:35:44
13,7257,7244,"['BuenosAires', 'champions', 'doubles', 'tennis', 'ATP']",2018,2,0,16,2018-02-18 16:23:13
14,7262,7248,"['Mirnyi', 'doubles', 'NYOpen', 'tennis', 'ATP', 'milestone']",2018,2,0,11,2018-02-18 11:41:16
97,27862,27765,"['winning', 'rogerfederer', 'trophy', 'champion', 'tennistv', 'Repost', 'tennis', 'sports', 'federer', 'sport']",2018,2,0,11,2018-02-18 11:21:14
10,11185,11175,"['Mahut', 'Rotterdam', 'champions', 'doubles', 'tennis', 'ATP', 'abnamrowtt', 'Herbert']",2018,2,0,11,2018-02-18 11:17:46
315,19068,18753,"['davidgoffin', 'injury', 'rotterdam', 'dimitrov', 'goffin', 'tennistv', 'atp', 'Repost', 'tennis', 'sports', 'atpworldtour', 'abnamrowtt', 'sport']",2018,2,6,21,2018-02-17 21:16:58
37,14066,14029,"['DBO2018', 'Shapovalov', 'DelrayBeachOpen', 'Chung', 'tennis', 'ATP']",2018,2,6,19,2018-02-17 19:27:53
309,72075,71766,[],2018,2,5,15,2018-02-16 15:44:16
379,43590,43211,[],2018,2,5,15,2018-02-16 15:11:35
1261,91980,90719,[],2018,2,5,15,2018-02-16 15:03:08
387,29314,28927,"['Rotterdam', 'hotshot', 'tennis', 'ATP', 'sports', 'atpworldtour', 'abnamrowtt', 'Federer']",2018,2,4,0,2018-02-15 00:20:29
30,11806,11776,"['rotterdam', 'atp', 'sugita', 'hotshot', 'tennis', 'atpworldtour']",2018,2,4,0,2018-02-15 00:14:01
31,19236,19205,"['Dimitrov', 'Goffin', 'Rotterdam', 'Rublev', 'tennis', 'ATP', 'abnamrowtt', 'Federer']",2018,2,3,18,2018-02-14 18:26:03
40,4033,3993,['HappyValentinesDay'],2018,2,3,14,2018-02-14 14:08:08
12,5666,5654,"['500series', 'Thiem', 'Nadal', 'Cilic', 'tennis', 'ATP', 'Federer']",2018,2,3,10,2018-02-14 10:49:34
109,9673,9564,"['instasport', 'mlb', 'baseball', 'tennistv', 'atp', 'Repost', 'tennis', 'sports', 'atpworldtour', 'sport']",2018,2,2,15,2018-02-13 15:34:50
149,24515,24366,"['tennis', 'ATP', 'Rotterdam', 'Federer']",2018,2,1,5,2018-02-12 05:05:31
62,12014,11952,"['tennis', 'Quito', 'ATP', 'tenislatitudcero']",2018,2,0,19,2018-02-11 19:05:12
13,7539,7526,"['tennis', 'ATP', 'NYOpen', 'BrooklynNets']",2018,2,0,18,2018-02-11 18:21:13
42,11749,11707,"['tennis', 'SofiaOpen', 'ATP', 'champion']",2018,2,0,15,2018-02-11 15:59:29
26,9741,9715,"['champions', 'TenisLatitudCero', 'doubles', 'tennis', 'ATP']",2018,2,0,12,2018-02-11 12:23:14
48,16372,16324,"['champion', 'OSDF18', 'Pouille', 'tennis', 'ATP']",2018,2,0,12,2018-02-11 12:05:41
19,8895,8876,"['tennis', 'doubles', 'ATP', 'OSDF18']",2018,2,0,12,2018-02-11 12:01:35
22,10282,10260,"['SofiaOpen', 'Middelkoop', 'doubles', 'tennis', 'Haase', 'ATP']",2018,2,0,11,2018-02-11 11:37:23
33,17072,17039,"['tennis', 'ATP', 'OSDF17', 'Gaquet']",2018,2,6,14,2018-02-10 14:02:38
69,21427,21358,"['tennis', 'FridayFeeling', 'ATP', 'Federer']",2018,2,5,17,2018-02-09 17:54:51
68,15294,15226,"['atpworldtour', 'showman', 'lamonf', 'tennistv', 'atp', 'Repost', 'gaelmonfils', 'tennis', 'quito', 'sports', 'monfils', 'sport']",2018,2,4,18,2018-02-08 18:09:45
53,13572,13519,"['tennis', 'NittoATPFinals', 'London', 'ATP']",2018,2,4,8,2018-02-08 08:48:33
97,29839,29742,"['tennis', 'Wawrinka', 'ATP', 'SofiaOpen']",2018,2,3,14,2018-02-07 14:19:39
24,10138,10114,"['tennis', 'NittoATPFinals', 'London', 'ATP']",2018,2,3,4,2018-02-07 04:00:03
58,13522,13464,"['tenislatitudcero', 'Quito', 'equator', 'tennis', 'ATP']",2018,2,2,19,2018-02-06 19:40:57
77,16807,16730,['NittoATPFinals'],2018,2,2,4,2018-02-06 04:24:32
12,7631,7619,"['tennis', 'Sofia', 'SofiaOpen', 'ATP']",2018,2,1,17,2018-02-05 17:32:18
29,11028,10999,"['Quito', 'TenisLatitudCero', 'Karlovic', 'tennis', 'ATP', 'DutraSilva']",2018,2,0,16,2018-02-04 16:55:25
83,21653,21570,"['tennis', 'Nishikori', 'ATP', 'ATPChallenger']",2018,2,5,18,2018-02-02 18:20:43
177,31257,31080,['Repost'],2018,2,5,17,2018-02-02 17:51:47
522,45675,45153,"['FlashbackFriday', 'GrandSlam', 'tennis', 'ATP', 'Federer']",2018,2,5,11,2018-02-02 11:29:14
