twitter_id,create_at,tweet_text,user_id,user_location,tag_text,url,key_word,retweet_count,like_count,twitter_hour,twitter_weekday,twitter_day
27,2018-04-08 19:10:57,"RT @SnezaCC: I wish... I wish... I wish... you know what I mean #Nolefam ????
https://t.co/2EW9WI1Eun",922188975955169281,,Nolefam,https://t.co/2EW9WI1Eun,Novak Djokovic,10,0,19,6,8
31,2018-04-08 19:08:24,"Any word on the #masters2018 ? 

I don't watch #Golf and have no interest in it, but i would like to know if… https://t.co/qiFYwdi5rX",239830880,South of Purgatory,masters2018,https://t.co/qiFYwdi5rX,Andy Murray,1,2,19,6,8
28,2018-04-08 19:07:39,This is how it should be #IdemoooTeamDjokovic??♥️??❤️?☘️??Novak Djokovic trains with former coach Marian Vajda afte… https://t.co/tZErwZhnIS,1959616662,Canada,IdemoooTeamDjokovic,https://t.co/tZErwZhnIS,Novak Djokovic,0,8,19,6,8
5,2018-04-08 18:11:03,"#DavisCup

Definidas las Semifinales del Grupo Mundial de Copa Davis (14-16 Septiembre):

Francia ?? vs España ??
C… https://t.co/UnfzywQFeZ",511301235,Guadalajara - CDMX,DavisCup,https://t.co/UnfzywQFeZ,Marin Cilic,0,1,18,6,8
87,2018-04-08 18:11:03,"#DavisCup

Definidas las Semifinales del Grupo Mundial de Copa Davis (14-16 Septiembre):

Francia ?? vs España ??
C… https://t.co/UnfzywQFeZ",511301235,Guadalajara - CDMX,DavisCup,https://t.co/UnfzywQFeZ,Jack Sock,0,1,18,6,8
6,2018-04-08 16:16:00,Marin Cilic mete a Croacia en semifinales de la Copa Davis https://t.co/rfsa5R1s59 #tenis,820011278735409153,"Barcelona, Catalunya",tenis,https://t.co/rfsa5R1s59,Marin Cilic,0,0,16,6,8
7,2018-04-08 16:12:31,"#CROKAZ Todo es abrazos y festejos para Croacia, uno de los semifinalistas de la #CopaDavis de la mano de… https://t.co/xpe0MCD5eG",117713581,Global,CROKAZ,https://t.co/xpe0MCD5eG,Marin Cilic,7,23,16,6,8
8,2018-04-08 16:08:54,"#Tenis | Marin Cilic lleva a Croacia a semifinales de Copa Davis 

https://t.co/1r891onxma https://t.co/7EuyA2mz0f",248725806,"Bogotá, Colombia",Tenis,https://t.co/1r891onxma,Marin Cilic,0,2,16,6,8
39,2018-04-08 15:27:56,#daviscup Must survive !!!!!! @leytonhewitt @cilic_marin @RafaelNadal @la_pouille @AlexZverev12 @JohnIsner… https://t.co/jk6czbyAq0,614071115,,daviscup,https://t.co/jk6czbyAq0,David Goffin,0,2,15,6,8
88,2018-04-08 15:20:18,"#USA-BEL: The United States leaves #Belgium

After two wins in the first singles, the pair of Jack Sock and Ryan Ha… https://t.co/msSZJbSbjT",2657856787,,USA,https://t.co/msSZJbSbjT,Jack Sock,0,0,15,6,8
32,2018-04-08 14:36:21,.@andy_murray How many more months do the Ratcliffes have to endure this nightmare. Help #FreeNazanin by signing &amp;… https://t.co/sk74L4LZsW,731846975872761858,,FreeNazanin,https://t.co/sk74L4LZsW,Andy Murray,3,0,14,6,8
33,2018-04-08 10:00:16,Who’s your money on @Andy_murray or a mosquito? Share to declare that #MalariaMustDie so millions can live.… https://t.co/5e5pzwvjQp,948592365001986048,,MalariaMustDie,https://t.co/5e5pzwvjQp,Andy Murray,14,37,10,6,8
40,2018-04-08 07:32:04,"#CoupeDavis : les Etats-Unis premiers qualifiés pour les 1/2 finales après leur victoire (3-0) contre la Belgique,… https://t.co/jbqhh1ZBvT",881942460041220097,,CoupeDavis,https://t.co/jbqhh1ZBvT,David Goffin,0,0,7,6,8
89,2018-04-08 05:45:09,"#CopaDavis #GrupoMundial #USABEL
Ryan Harrison y Jack Sock liquidaron la serie 3-0 para el equipo estadounidense, d… https://t.co/xRRmQX88gt",816800112752074752,,CopaDavis,https://t.co/xRRmQX88gt,Jack Sock,0,0,5,6,8
90,2018-04-08 04:02:00,"Sock, Harrison put U.S. in Davis Cup semis https://t.co/r7oI5fnTiw #tennis",820011278735409153,"Barcelona, Catalunya",tennis,https://t.co/r7oI5fnTiw,Jack Sock,0,1,4,6,8
